0x16695C8: Cet Oricorio a siroté du nectar violet.\nCertains danseurs s'inspirent de sa danse gracieuse et élégante\n.
0x166962F: Ils vivent seuls sans former de meute.\nIls n'écoutent que les ordres de ceux\nqui peuvent tirer leur véritable pouvoir.
0x166969F: Cette forme étrange est le résultat de son évolution au crépuscule. Un intense esprit de combat\nsous-tend son calme.
0x166970A: À leur apparition, même les Léviator s'enfuient.\nLorsqu'ils s'associent pour utiliser le Pistolet à Eau, sa\npuissance dépasse celle de l'Hydro Pump.
0x166977D: Il s'agit de Necrozma alors qu'il absorbe\nle ​​pouvoir de Solgaleo, le rendant très\nféroce et impossible à contrôler.
0x16697EE: Lunala n'a plus de volonté propre.\nMaintenant sous le contrôle de Necrozma, elle\nexpulse continuellement toute son énergie.
0x1669863: C'est sa forme lorsqu'il a absorbé une énergie lumineuse écrasante. Il tire des faisceaux laser \n depuis tout son corps.
0x16698D1: Il fonctionne grâce à son âme artificielle.\nLa décoration vive est la preuve qu'il\na été présenté comme un cadeau à la royauté.
0x1669947: Le moindre choc est parfois \nsuffisant pour que ce Pokémon recrache\nl'Arrokuda logé dans sa gorge.
0x16699B2: Ce Cramorant a accidentellement eu\nun Pikachu logé dans son gosier. Même s’il semble s’étouffer, cela ne le dérange pas.
0x1669A2A: Tout en produisant de l'électricité, il remplit\nl'environnement de ce qui ressemble à\nle ​​grattement d'une guitare basse.
0x1669A94: Le motif tourbillonnant dans son corps est sa faiblesse. S’il est remué, le tourbillon\nperd sa forme et devient étourdi.
0x1669B05: Lorsqu’il est en colère, il lance du thé depuis \nson corps vers la bouche du délinquant. Le thé \n provoque de forts frissons s’il est avalé.
0x1669B75: Il a évolué à partir d'un Milcery qui tenait \n sur un Berry Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669BE2: Il a évolué d'un Milcery qui tenait \n à un Clover Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669C50: Il a évolué à partir d'un Milcery qui tenait \n sur un Flower Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669CBE: Il a évolué d'un Milcery qui tenait \n à un Love Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669D2A: Il a évolué à partir d'un Milcery qui tenait \n sur un Ribbon Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669D98: Il a évolué d'un Milcery qui tenait \n à un Star Sweet. La saveur de sa crème\ndépend de la façon dont elle a été mélangée.
0x1669E04: La glace recouvrant le visage\nde ce Pokémon s'est brisée, révélant une expression \ninquiète dont beaucoup sont amoureux.
0x1669E74: Ces Pokémon intelligents touchent \ncornes les uns avec les autres pour partager\ninformations entre eux.
0x1669ECD: Une faim intense le pousse à des extrêmes de violence. Jusqu'à ce que sa faim soit apaisée,\nil commet toutes sortes de mauvaises actions.
0x1669F45: Désormais armé d'une arme qu'il utilisait dans les \ntemps anciens, ce Pokémon n'a besoin que de\nun seul coup pour abattre n'importe quelle cible.
0x1669FB3: Maintenant qu'il a équipé son bouclier,\nil peut ignorer les coups impressionnants,\nmême ceux des ennemis Dynamaxés.
0x166A015: Des quantités infinies d'énergie jaillissent du noyau élargi de \nce Pokémon, déformant\nl'espace-temps environnant.
0x166A07C: Cette forme d'Urshifu croit fermement\nà vaincre les ennemis en leur faisant pleuvoir de nombreux coups\n.
0x166A0D9: Ce Zarude a quitté sa meute pour élever un enfant humain \n. Il envelopperait l’enfant\navec son tissu pour calmer ses pleurs.
0x166A14E: On dit que ce Pokémon a autrefois\ndéplacé une grande forêt vers un nouvel emplacement\ndu jour au lendemain.
0x166A1A2: On dit qu'en utilisant son pouvoir,\nce Pokémon a sauvé les créatures\nd'une forêt d'une frappe de météorite.
0x166A20C: Ces Pokémon vivent en meute dans les\nmontagnes enneigées et se défendent\navec leur souffle glacial.
0x166A266: On dit qu’il guide les personnes vertueuses qui\nse sont égarées sur les sentiers de montagne\npour redescendre jusqu’au pied de la montagne.
0x166A2D6: Lorsqu'il est excité, Voltorb décharge le courant électrique \n qu'il a stocké dans son ventre \n, puis laisse échapper un grand rire.
0x166A345: Lorsqu'il est irrité, ce Pokémon laisse \nlibérer un courant électrique égal à\n20 éclairs.
0x166A39E: On dit qu'il purifie les âmes\nperdues et abandonnées avec ses flammes et les guide\nvers l'au-delà.
0x166A3F9: Les pêcheurs détestent ce Pokémon \n gênant car il pulvérise du poison depuis \nses épines, le répandant partout.
0x166A464: Du bout de ses griffes coule\nun venin qui s'infiltre dans les nerfs\nde toute proie prise à sa portée.
0x166A4CA: Cœur dur et lame habile, \nses coups turbulents s'écrasent sur les ennemis\ncomme des vagues déferlantes incessantes.
0x166A52E: Les feuilles sur sa tête sont très \nvalorisées à des fins médicinales lorsqu'elles\nséchées au soleil et bouillies.
0x166A590: Cette Basculin diffère des autres à \nplusieurs égards, y compris son\nattitude - celle-ci est douce.
0x166A5F4: Une âme autrefois disparue, revenue à la vie\n. Il tire son pouvoir du ressentiment, \nqui s'élève sous forme d'énergie au sommet de sa tête.
0x166A663: Insouciant de sa propre sécurité, il attaque\nses ennemis avec une énergie amère si\nintense qu'il se lacère son propre corps.
0x166A6D2: On dit qu’il fait exploser les lacs avec des ondes de choc\n, puis ramasse toutes les proies\nqui flottent à la surface de l’eau.
0x166A739: On dit que sa coque métallique s'est développée\nà la suite de la réaction du mucus sur sa peau\navec le fer contenu dans l'eau ancienne.
0x166A7AF: Capable de contrôler librement la dureté\nde sa coque métallique. Il déteste la solitude et est extrêmement collant.
0x166A817: L'armure de glace qui recouvre sa mâchoire inférieure fait honte à l'acier et peut facilement briser les roches.
0x166A874: L’air stocké à l’intérieur des rachis des plumes de \nDecidueye isole le \nPokémon du froid extrême.
0x166A8DB: Djinn
0x166A8E1: Grand roi
0x166A8EB: Corne unique
0x166A8F7: Dansant
0x166A8FF: Hexpert
0x166A907: Cruel
0x166A90D: Des jambes fortes
0x166A919: Malveillant
0x166A924: Charme zen
0x166A92E: Scout
0x166A934: Sphère
0x166A93B: Flamme fantôme
0x166A947: Filage
0x166A950: Moelleux
0x166A957: Renard malveillant
0x166A963: Renard funeste
0x166A96F: Cri de guerre
0x166A97A: Escargot
0x166A980: ShellBunker
0x166A997: Bulbizarre
0x166A9A2: Herbizarre
0x166A9AD: Florizarre
0x166A9B8: Salamèche
0x166A9C3: Reptincel
0x166A9CE: Dracaufeu
0x166A9D9: Carapuce
0x166A9E4: Carabaffe
0x166A9EF: Tortank
0x166A9FA: Chenipan
0x166AA05: Chrysacier
0x166AA10: Papilusion
0x166AA1B: Aspicot
0x166AA26: Coconfort
0x166AA31: Dardargnan
0x166AA3C: Roucool
0x166AA47: Roucoups
0x166AA52: Roucarnage
0x166AA5D: Rattata
0x166AA68: Rattatac
0x166AA73: Piafabec
0x166AA7E: Rapasdepic
0x166AA89: Abo
0x166AA94: Arbok
0x166AA9F: Pikachu
0x166AAAA: Raichu
0x166AAB5: Sabelette
0x166AAC0: Sablaireau
0x166AACB: Nidoran♀
0x166AAD6: Nidorina
0x166AAE1: Nidoqueen
0x166AAEC: Nidoran♂
0x166AAF7: Nidorino
0x166AB02: Nidoking
0x166AB0D: Mélofée
0x166AB18: Mélodelfe
0x166AB23: Goupix
0x166AB2E: Feunard
0x166AB39: Rondoudou
0x166AB44: Grodoudou
0x166AB4F: Nosferapti
0x166AB5A: Nosferalto
0x166AB65: Mystherbe
0x166AB70: Ortide
0x166AB7B: Rafflesia
0x166AB86: Paras
0x166AB91: Parasect
0x166AB9C: Mimitoss
0x166ABA7: Aéromite
0x166ABB2: Taupiqueur
0x166ABBD: Triopikeur
0x166ABC8: Miaouss
0x166ABD3: Persian
0x166ABDE: Psykokwak
0x166ABE9: Akwakwak
0x166ABF4: Férosinge
0x166ABFF: Colossinge
0x166AC0A: Caninos
0x166AC15: Arcanin
0x166AC20: Ptitard
0x166AC2B: Têtarte
0x166AC36: Tartard
0x166AC41: Abra
0x166AC4C: Kadabra
0x166AC57: Alakazam
0x166AC62: Machoc
0x166AC6D: Machopeur
0x166AC78: Mackogneur
0x166AC83: Chétiflor
0x166AC8E: Boustiflor
0x166AC99: Empiflor
0x166ACA4: Tentacool
0x166ACAF: Tentacruel
0x166ACBA: Racaillou
0x166ACC5: Gravalanch
0x166ACD0: Grolem
0x166ACDB: Ponyta
0x166ACE6: Galopa
0x166ACF1: Ramoloss
0x166ACFC: Flagadoss
0x166AD07: Magnéti
0x166AD12: Magnéton
0x166AD1D: Farfetch'd
0x166AD28: Doduo
0x166AD33: Dodrio
0x166AD3E: Otaria
0x166AD49: Lamantine
0x166AD54: Tadmorv
0x166AD6A: Kokiyas
0x166AD75: Crustabri
0x166AD80: Fantominus
0x166AD8B: Spectrum
0x166AD96: Ectoplasma
0x166ADA1: Onix
0x166ADAC: Soporifik
0x166ADB7: Hypnomade
0x166ADC2: Krabby
0x166ADCD: Krabboss
0x166ADD8: Voltorbe
0x166ADE3: Électrode
0x166ADEE: Noeunoeuf
0x166ADF9: Noadkoko
0x166AE04: Osselait
0x166AE0F: Ossatueur
0x166AE1A: Kicklee
0x166AE25: Tygnon
0x166AE30: Excelangue
0x166AE3B: Smogo
0x166AE46: Smogogo
0x166AE51: Rhinocorne
0x166AE5C: Rhinoféros
0x166AE67: Leveinard
0x166AE72: Saquedeneu
0x166AE7D: Kangourex
0x166AE88: Hypotrempe
0x166AE93: Hypocéan
0x166AE9E: Poissirène
0x166AEA9: Poissoroy
0x166AEB4: Stari
0x166AEBF: Staross
0x166AECA: M. Mime
0x166AED5: Insécateur
0x166AEE0: Lippoutou
0x166AEEB: Élektek
0x166AEF6: Magmar
0x166AF01: Scarabrute
0x166AF0C: Tauros
0x166AF17: Magicarpe
0x166AF22: Léviator
0x166AF2D: Lokhlass
0x166AF38: Métamorph
0x166AF43: Évoli
0x166AF4E: Aquali
0x166AF59: Voltali
0x166AF64: Pyroli
0x166AF6F: Porygon
0x166AF7A: Amonita
0x166AF85: Amonistar
0x166AF90: Kabuto
0x166AF9B: Kabutops
0x166AFA6: Ptéra
0x166AFB1: Ronflex
0x166AFBC: Artikodin
0x166AFC7: Électhor
0x166AFD2: Sulfura
0x166AFDD: Minidraco
0x166AFE8: Draco
0x166AFF3: Dracolosse
0x166AFFE: Mewtwo
0x166B014: Germignon
0x166B01F: Macronium
0x166B02A: Méganium
0x166B035: Héricendre
0x166B040: Feurisson
0x166B04B: Typhlosion
0x166B056: Kaiminus
0x166B061: Crocrodil
0x166B06C: Aligatueur
0x166B077: Fouinette
0x166B082: Fouinar
0x166B08D: Hoothoot
0x166B098: Noarfang
0x166B0A3: Coxy
0x166B0AE: Coxyclaque
0x166B0B9: Mimigal
0x166B0C4: Migalos
0x166B0CF: Nostenfer
0x166B0DA: Loupio
0x166B0E5: Lanturn
0x166B0F0: Pichu
0x166B0FB: Mélo
0x166B106: Toudoudou
0x166B111: Togepi
0x166B11C: Togetic
0x166B127: Natu
0x166B132: Xatu
0x166B13D: Wattouat
0x166B148: Lainergie
0x166B153: Pharamp
0x166B15E: Joliflor
0x166B169: Marill
0x166B174: Azumarill
0x166B17F: Simularbre
0x166B18A: Tarpaud
0x166B195: Granivol
0x166B1A0: Floravol
0x166B1AB: Cotovol
0x166B1B6: Capumain
0x166B1C1: Tournegrin
0x166B1CC: Héliatronc
0x166B1D7: Yanma
0x166B1E2: Axoloto
0x166B1ED: Maraiste
0x166B1F8: Mentali
0x166B203: Noctali
0x166B20E: Cornèbre
0x166B219: Roigada
