0x166BD66: Charkos
0x166BD71: Dinoclier
0x166BD7C: Bastiodon
0x166BD87: Cheniti
0x166BD92: Cheniselle
0x166BD9D: Papilord
0x166BDA8: Apitrini
0x166BDB3: Apireine
0x166BDBE: Pachirisu
0x166BDC9: Mustébouée
0x166BDD4: Mustéflott
0x166BDDF: Ceribou
0x166BDEA: Ceriflor
0x166BDF5: Sancoki
0x166BE00: Tritosor
0x166BE0B: Capidextre
0x166BE16: Baudrive
0x166BE21: Grodrive
0x166BE2C: Laporeille
0x166BE37: Lockpin
0x166BE42: Magirêve
0x166BE4D: Corboss
0x166BE58: Chaglam
0x166BE63: Chaffreux
0x166BE6E: Korillon
0x166BE79: Moufouette
0x166BE84: Moufflair
0x166BE8F: Archéomire
0x166BE9A: Archéodong
0x166BEA5: Manzaï
0x166BEB0: Mime Jr.
0x166BEBB: Ptiravi
0x166BEC6: Pijako
0x166BED1: Spiritomb
0x166BEDC: Griknot
0x166BEE7: Carmache
0x166BEF2: Carchacrok
0x166BEFD: Goinfrex
0x166BF08: Riolu
0x166BF13: Lucario
0x166BF1E: Hippopotas
0x166BF29: Hippodocus
0x166BF34: Rapion
0x166BF3F: Drascore
0x166BF4A: Cradopaud
0x166BF55: Coatox
0x166BF60: Vortente
0x166BF6B: Écayon
0x166BF76: Luminéon
0x166BF81: Babimanta
0x166BF8C: Blizzi
0x166BF97: Blizzaroi
0x166BFA2: Dimoret
0x166BFAD: Magnézone
0x166BFB8: Coudlangue
0x166BFC3: Rhinastoc
0x166BFCE: Bouldeneu
0x166BFD9: Élekable
0x166BFE4: Maganon
0x166BFEF: Togekiss
0x166BFFA: Yanmega
0x166C005: Phyllali
0x166C010: Givrali
0x166C01B: Scorvol
0x166C026: Mammochon
0x166C031: Porygon-Z
0x166C03C: Gallame
0x166C047: Tarinorme
0x166C052: Noctunoir
0x166C05D: Momartik
0x166C068: Motisma
0x166C073: Créhelf
0x166C07E: Créfollet
0x166C089: Créfadet
0x166C094: Dialga
0x166C09F: Palkia
0x166C0AA: Heatran
0x166C0B5: Regigigas
0x166C0C0: Giratina
0x166C0CB: Cresselia
0x166C0D6: Phione
0x166C0E1: Manaphy
0x166C0EC: Darkrai
0x166C0F7: Shaymin
0x166C102: Arceus
0x166C10D: Victini
0x166C118: Vipélierre
0x166C123: Lianaja
0x166C12E: Majaspic
0x166C139: Gruikui
0x166C144: Grotichon
0x166C14F: Roitiflam
0x166C15A: Moustillon
0x166C165: Mateloutre
0x166C170: Clamiral
0x166C17B: Ratentif
0x166C186: Miradar
0x166C191: Ponchiot
0x166C19C: Ponchien
0x166C1A7: Mastouffe
0x166C1B2: Chacripan
0x166C1BD: Léopardus
0x166C1C8: Feuillajou
0x166C1D3: Feuiloutan
0x166C1DE: Flamajou
0x166C1E9: Flamoutan
0x166C1F4: Flotajou
0x166C1FF: Flotoutan
0x166C20A: Munna
0x166C215: Mushana
0x166C220: Poichigeon
0x166C22B: Colombeau
0x166C236: Déflaisan
0x166C241: Zébibron
0x166C24C: Zéblitz
0x166C257: Nodulithe
0x166C262: Géolithe
0x166C26D: Gigalt
0x166C278: Chovsourir
0x166C283: Rhinolove
0x166C28E: Rototaupe
0x166C299: Minotaupe
0x166C2A4: Nanméouïe
0x166C2AF: Charpenti
0x166C2BA: Ouvrifier
0x166C2C5: Bétochef
0x166C2D0: Tritonde
0x166C2DB: Batracné
0x166C2E6: Crapustule
0x166C2F1: Judokrak
0x166C2FC: Karaclée
0x166C307: Larveyette
0x166C312: Couverdure
0x166C31D: Manternel
0x166C328: Venipatte
0x166C333: Scobolide
0x166C33E: Brutapode
0x166C349: Doudouvet
0x166C354: Farfaduvet
0x166C35F: Chlorobule
0x166C36A: Fragilady
0x166C375: Bargantua
0x166C380: Mascaïman
0x166C38B: Escroco
0x166C396: Crocorible
0x166C3A1: Darumarond
0x166C3AC: Darumacho
0x166C3B7: Maracachi
0x166C3C2: Crabicoque
0x166C3CD: Crabaraque
0x166C3D8: Baggiguane
0x166C3E3: Baggaïd
0x166C3EE: Cryptéro
0x166C3F9: Tutafeh
0x166C404: Tutankafer
0x166C40F: Carapagos
0x166C41A: Mégapagos
0x166C425: Arkéapti
0x166C430: Aéroptéryx
0x166C43B: Miamiasme
0x166C446: Miasmax
0x166C451: Zorua
0x166C45C: Zoroark
0x166C467: Chinchidou
0x166C472: Pashmilla
0x166C47D: Scrutella
0x166C488: Mesmérella
0x166C493: Sidérella
0x166C49E: Nucléos
0x166C4A9: Méios
0x166C4B4: Symbios
0x166C4BF: Couaneton
0x166C4CA: Lakmécygne
0x166C4D5: Sorbébé
0x166C4E0: Sorboul
0x166C4EB: Sorbouboul
0x166C4F6: Vivaldaim
0x166C501: Haydaim
0x166C50C: Emolga
0x166C517: Carabing
0x166C522: Lançargot
0x166C52D: Trompignon
0x166C538: Gaulet
0x166C543: Viskuse
0x166C54E: Moyade
0x166C559: Mamanbo
0x166C564: Statitik
0x166C56F: Mygavolt
0x166C57A: Grindur
0x166C585: Noacier
0x166C590: Tic
0x166C59B: Clic
0x166C5A6: Cliticlic
0x166C5B1: Anchwatt
0x166C5BC: Lampéroie
0x166C5C7: Ohmassacre
0x166C5D2: Lewsor
0x166C5DD: Neitram
0x166C5E8: Funécire
0x166C5F3: Mélancolux
0x166C5FE: Lugulabre
0x166C609: Coupenotte
0x166C614: Incisache
0x166C61F: Tranchodon
0x166C62A: Polarhume
0x166C635: Polagriffe
0x166C640: Hexagel
0x166C64B: Escargaume
0x166C656: Limaspeed
0x166C661: Limonde
0x166C66C: Kungfouine
0x166C677: Shaofouine
0x166C682: Drakkarmin
0x166C68D: Gringolem
0x166C698: Golemastoc
0x166C6A3: Scalpion
0x166C6AE: Scalproie
0x166C6B9: Frison
0x166C6C4: Furaiglon
0x166C6CF: Gueriaigle
0x166C6DA: Vostourno
0x166C6E5: Vaututrice
0x166C6F0: Aflamanoir
0x166C6FB: Fermite
0x166C706: Solochi
0x166C711: Diamat
0x166C71C: Trioxhydre
0x166C727: Pyronille
0x166C732: Pyrax
0x166C73D: Cobaltium
0x166C748: Terrakium
0x166C753: Viridium
0x166C75E: Boréas
0x166C769: Fulguris
0x166C774: Reshiram
0x166C77F: Zekrom
0x166C78A: Démétéros
0x166C795: Kyurem
0x166C7A0: Keldeo
0x166C7AB: Meloetta
0x166C7B6: Genesect
0x166C7C1: Déflaisan
0x166C7CC: Viskuse
0x166C7D7: Moyade
0x166C7E2: Guerrier
0x166C7ED: Cheniti
0x166C7F8: Cheniti
0x166C803: Cheniselle
0x166C80E: Cheniselle
0x166C819: Sancoki
