Line 1: \p count mismatch (origin=0, fr=1)
Line 3: \p count mismatch (origin=3, fr=0)
Line 5: \p count mismatch (origin=1, fr=0)
Line 6: \p count mismatch (origin=1, fr=0)
Line 10: \p count mismatch (origin=2, fr=5)
Line 10: \l count mismatch (origin=2, fr=1)
Line 10: segment too long (37>36) -> le type de personneque je cherche. Je
Line 11: \p count mismatch (origin=2, fr=1)
Line 12: \l count mismatch (origin=0, fr=1)
Line 13: \p count mismatch (origin=0, fr=1)
Line 14: \p count mismatch (origin=0, fr=3)
Line 14: \l count mismatch (origin=0, fr=2)
Line 15: \p count mismatch (origin=3, fr=0)
Line 15: \l count mismatch (origin=2, fr=1)
Line 16: \p count mismatch (origin=0, fr=1)
Line 16: \l count mismatch (origin=1, fr=0)
Line 18: \p count mismatch (origin=1, fr=0)
Line 19: \p count mismatch (origin=1, fr=0)
Line 19: \l count mismatch (origin=1, fr=0)
Line 21: \p count mismatch (origin=2, fr=0)
Line 21: \l count mismatch (origin=3, fr=2)
Line 22: \p count mismatch (origin=1, fr=0)
Line 22: \l count mismatch (origin=2, fr=0)
Line 23: \p count mismatch (origin=1, fr=0)
Line 23: \l count mismatch (origin=2, fr=0)
Line 24: \p count mismatch (origin=0, fr=2)
Line 26: \p count mismatch (origin=1, fr=0)
Line 26: \l count mismatch (origin=1, fr=0)
Line 27: \l count mismatch (origin=0, fr=1)
Line 30: \l count mismatch (origin=0, fr=2)
Line 32: \p count mismatch (origin=1, fr=0)
Line 33: \p count mismatch (origin=1, fr=0)
Line 33: \l count mismatch (origin=0, fr=1)
Line 34: \p count mismatch (origin=1, fr=0)
Line 35: \p count mismatch (origin=1, fr=0)
Line 37: \p count mismatch (origin=0, fr=2)
Line 37: \l count mismatch (origin=0, fr=3)
Line 38: \l count mismatch (origin=0, fr=1)
Line 39: \p count mismatch (origin=1, fr=2)
Line 39: \l count mismatch (origin=0, fr=2)
Line 40: \p count mismatch (origin=0, fr=3)
Line 40: \l count mismatch (origin=0, fr=1)
Line 41: \p count mismatch (origin=0, fr=2)
Line 41: \l count mismatch (origin=1, fr=0)
Line 42: \p count mismatch (origin=1, fr=2)
Line 43: \p count mismatch (origin=0, fr=1)
Line 43: \l count mismatch (origin=0, fr=1)
Line 44: \p count mismatch (origin=1, fr=0)
Line 46: \p count mismatch (origin=0, fr=1)
Line 49: \p count mismatch (origin=0, fr=2)
Line 52: \p count mismatch (origin=0, fr=1)
Line 53: \p count mismatch (origin=0, fr=1)
Line 53: \l count mismatch (origin=0, fr=2)
Line 54: \p count mismatch (origin=1, fr=0)
Line 55: \l count mismatch (origin=0, fr=1)
Line 57: \p count mismatch (origin=1, fr=0)
Line 57: \l count mismatch (origin=0, fr=1)
Line 60: \p count mismatch (origin=1, fr=5)
Line 60: \l count mismatch (origin=0, fr=1)
Line 61: \p count mismatch (origin=0, fr=2)
Line 61: \l count mismatch (origin=0, fr=1)
Line 62: \p count mismatch (origin=2, fr=1)
Line 63: \p count mismatch (origin=0, fr=1)
Line 64: \p count mismatch (origin=1, fr=2)
Line 64: \l count mismatch (origin=0, fr=1)
Line 66: \p count mismatch (origin=0, fr=3)
Line 66: \l count mismatch (origin=0, fr=1)
Line 67: \p count mismatch (origin=1, fr=0)
Line 68: \p count mismatch (origin=0, fr=1)
Line 71: \p count mismatch (origin=0, fr=1)
Line 73: \p count mismatch (origin=0, fr=3)
Line 74: \p count mismatch (origin=0, fr=2)
Line 74: \l count mismatch (origin=0, fr=1)
Line 76: \p count mismatch (origin=5, fr=0)
Line 76: \l count mismatch (origin=1, fr=0)
Line 77: \p count mismatch (origin=1, fr=0)
Line 78: \l count mismatch (origin=1, fr=0)
Line 79: \p count mismatch (origin=1, fr=0)
Line 80: \p count mismatch (origin=3, fr=0)
Line 80: \l count mismatch (origin=2, fr=0)
Line 81: \l count mismatch (origin=1, fr=0)
Line 82: \p count mismatch (origin=1, fr=0)
Line 84: \l count mismatch (origin=1, fr=0)
Line 87: \l count mismatch (origin=2, fr=0)
Line 90: \p count mismatch (origin=2, fr=0)
Line 93: \p count mismatch (origin=0, fr=1)
Line 93: \l count mismatch (origin=1, fr=0)
Line 94: \p count mismatch (origin=0, fr=4)
Line 96: \p count mismatch (origin=0, fr=1)
Line 96: \l count mismatch (origin=2, fr=0)
Line 97: \p count mismatch (origin=0, fr=1)
Line 99: \l count mismatch (origin=1, fr=0)
Line 100: \p count mismatch (origin=0, fr=1)
Line 100: \l count mismatch (origin=0, fr=3)
Line 101: \p count mismatch (origin=0, fr=3)
Line 101: segment too long (37>36) ->  C'est toi ! Le Dresseur qui a trouvé
Line 102: \p count mismatch (origin=0, fr=7)
Line 102: \l count mismatch (origin=0, fr=2)
Line 103: \p count mismatch (origin=2, fr=1)
Line 103: \l count mismatch (origin=3, fr=2)
Line 104: \p count mismatch (origin=1, fr=2)
Line 104: \l count mismatch (origin=1, fr=0)
Line 105: \p count mismatch (origin=2, fr=0)
