Line 1: \p count mismatch (origin=1, fr=0)
Line 2: \l count mismatch (origin=0, fr=1)
Line 3: \l count mismatch (origin=0, fr=1)
Line 5: \l count mismatch (origin=1, fr=0)
Line 6: \p count mismatch (origin=0, fr=1)
Line 6: \l count mismatch (origin=0, fr=1)
Line 7: \l count mismatch (origin=0, fr=2)
Line 7: segment too long (38>36) ->  Je sais que je lui ai dit qu'utiliser
Line 7: segment too long (37>36) -> son pouvoir serait une mauvaise idée,
Line 8: segment too long (37>36) ->  C'est pour ça que je dois faire ça !
Line 9: \p count mismatch (origin=1, fr=0)
Line 10: \p count mismatch (origin=0, fr=3)
Line 10: \l count mismatch (origin=1, fr=0)
Line 11: \l count mismatch (origin=0, fr=2)
Line 12: segment too long (37>36) -> Si tu existes, donne-moi un signe que
Line 14: segment too long (37>36) ->  {COLOR}ËOn dirait, Papy, qu'il y a peut-être
Line 15: \l count mismatch (origin=0, fr=1)
Line 15: segment too long (37>36) -> Il y a un programme spécial à la télé
Line 16: \p count mismatch (origin=0, fr=5)
Line 16: \l count mismatch (origin=0, fr=4)
Line 16: segment too long (37>36) -> Comme tu le sais, la force obscure de
Line 19: \l count mismatch (origin=0, fr=1)
Line 19: segment too long (41>36) ->  Jax : {COLOR}ËJe viens de voir ces types en noir
Line 20: \l count mismatch (origin=0, fr=2)
Line 21: \p count mismatch (origin=1, fr=0)
Line 22: \p count mismatch (origin=0, fr=1)
Line 22: segment too long (59>36) ->  Arthur : {COLOR}ËPas encore, Jax. Je veux d'abord que tu voles aux
Line 23: \p count mismatch (origin=1, fr=0)
Line 24: \p count mismatch (origin=4, fr=2)
Line 24: \l count mismatch (origin=1, fr=0)
Line 24: segment too long (38>36) -> C'est aussi grave que je le craignais…
Line 25: \p count mismatch (origin=3, fr=2)
Line 25: \l count mismatch (origin=3, fr=1)
Line 25: segment too long (41>36) ->  Arthur : {COLOR}ËJe pense que Jax peut régler le
Line 26: \p count mismatch (origin=0, fr=1)
Line 26: \l count mismatch (origin=0, fr=1)
Line 27: \p count mismatch (origin=4, fr=2)
Line 27: \l count mismatch (origin=5, fr=0)
Line 29: \p count mismatch (origin=0, fr=2)
Line 29: \l count mismatch (origin=0, fr=1)
Line 30: \p count mismatch (origin=0, fr=2)
Line 30: segment too long (39>36) ->  Journal : {COLOR}ËHmm… Tu as peut-être raison.
Line 31: \p count mismatch (origin=4, fr=2)
Line 33: \p count mismatch (origin=1, fr=2)
Line 34: \p count mismatch (origin=4, fr=1)
Line 34: \l count mismatch (origin=0, fr=4)
Line 35: \p count mismatch (origin=3, fr=2)
Line 36: \p count mismatch (origin=6, fr=3)
Line 36: segment too long (51>36) ->  Tu l'as fait ! Tu as vaincu la Lumière de Ruine et
Line 37: \p count mismatch (origin=2, fr=1)
Line 37: \l count mismatch (origin=0, fr=1)
Line 38: \p count mismatch (origin=4, fr=0)
Line 38: \l count mismatch (origin=2, fr=0)
Line 38: segment too long (42>36) ->  Comment se passent tes voyages, {PLAYER} ?
Line 40: \p count mismatch (origin=2, fr=0)
Line 40: segment too long (58>36) ->  Avec tout ça en tête, tu es presque prêt à entrer dans la
Line 42: \l count mismatch (origin=1, fr=0)
Line 43: \p count mismatch (origin=2, fr=0)
Line 44: \p count mismatch (origin=1, fr=0)
Line 44: \l count mismatch (origin=2, fr=0)
Line 45: \p count mismatch (origin=1, fr=0)
Line 46: \p count mismatch (origin=2, fr=0)
Line 47: \p count mismatch (origin=4, fr=0)
Line 47: \l count mismatch (origin=2, fr=0)
Line 48: \p count mismatch (origin=1, fr=2)
Line 48: \l count mismatch (origin=0, fr=1)
Line 49: \p count mismatch (origin=3, fr=1)
Line 49: segment too long (43>36) ->  Je vois… Dans ce cas, laisse-moi te donner
Line 50: \p count mismatch (origin=1, fr=8)
Line 50: \l count mismatch (origin=0, fr=7)
Line 52: \p count mismatch (origin=0, fr=2)
Line 53: \p count mismatch (origin=0, fr=1)
Line 53: \l count mismatch (origin=1, fr=0)
Line 53: segment too long (39>36) ->  Je t'ai donné tout ce que je pouvais !
Line 54: \p count mismatch (origin=1, fr=0)
Line 54: \l count mismatch (origin=2, fr=0)
Line 55: \p count mismatch (origin=1, fr=0)
Line 55: \l count mismatch (origin=1, fr=0)
Line 56: \p count mismatch (origin=2, fr=0)
Line 56: \l count mismatch (origin=1, fr=0)
Line 57: \l count mismatch (origin=1, fr=0)
Line 58: \p count mismatch (origin=2, fr=0)
Line 58: \l count mismatch (origin=2, fr=0)
