Line 26: \p count mismatch (origin=0, fr=1)
Line 29: \p count mismatch (origin=0, fr=1)
Line 36: \p count mismatch (origin=1, fr=0)
Line 39: \p count mismatch (origin=1, fr=0)
Line 42: \p count mismatch (origin=0, fr=1)
Line 44: \p count mismatch (origin=0, fr=1)
Line 48: \p count mismatch (origin=0, fr=4)
Line 48: \l count mismatch (origin=0, fr=1)
Line 49: \p count mismatch (origin=0, fr=1)
Line 49: \l count mismatch (origin=0, fr=1)
Line 50: \p count mismatch (origin=0, fr=2)
Line 51: \p count mismatch (origin=0, fr=1)
Line 53: \p count mismatch (origin=0, fr=2)
Line 55: \p count mismatch (origin=0, fr=3)
Line 56: \p count mismatch (origin=0, fr=6)
Line 58: \p count mismatch (origin=4, fr=1)
Line 58: \l count mismatch (origin=1, fr=0)
Line 59: \l count mismatch (origin=1, fr=0)
Line 60: \p count mismatch (origin=2, fr=0)
Line 61: \p count mismatch (origin=1, fr=0)
Line 62: \p count mismatch (origin=1, fr=0)
Line 63: \p count mismatch (origin=2, fr=0)
Line 64: \p count mismatch (origin=1, fr=0)
Line 65: \p count mismatch (origin=3, fr=0)
Line 66: \p count mismatch (origin=6, fr=0)
Line 68: \p count mismatch (origin=1, fr=0)
Line 69: \p count mismatch (origin=1, fr=0)
Line 116: \p count mismatch (origin=0, fr=1)
Line 126: \p count mismatch (origin=1, fr=0)
Line 162: \p count mismatch (origin=0, fr=1)
Line 172: \p count mismatch (origin=1, fr=0)
Line 205: segment too long (43>36) ->  Journal : {PLAYER} ! Ce n'est pas le moment
Line 207: \p count mismatch (origin=0, fr=1)
Line 208: \p count mismatch (origin=0, fr=2)
Line 217: \p count mismatch (origin=1, fr=0)
Line 218: \p count mismatch (origin=2, fr=0)
Line 224: \p count mismatch (origin=1, fr=0)
