Line 1: segment 1 \n mismatch (origin=1, fr=2)
Line 14: segment 8 \n mismatch (origin=1, fr=2)
Line 15: segment 8 \n mismatch (origin=1, fr=2)
Line 16: segment 1 has extra \n (origin=0, fr=2)
Line 16: segment 4 \n mismatch (origin=1, fr=2)
Line 16: segment 6 \n mismatch (origin=1, fr=0)
Line 19: segment 1 \n mismatch (origin=1, fr=2)
Line 23: segment 1 \n mismatch (origin=1, fr=3)
Line 25: segment 2 \n mismatch (origin=1, fr=2)
Line 29: segment 1 \n mismatch (origin=1, fr=2)
Line 32: segment 2 \n mismatch (origin=1, fr=2)
Line 33: segment 4 \n mismatch (origin=1, fr=2)
Line 35: segment 1 \n mismatch (origin=1, fr=3)
Line 41: segment 1 \n mismatch (origin=1, fr=2)
Line 44: segment 1 \n mismatch (origin=1, fr=2)
Line 63: segment 3 \n mismatch (origin=1, fr=2)
Line 63: segment 5 \n mismatch (origin=1, fr=2)
Line 68: segment 1 \n mismatch (origin=2, fr=3)
Line 70: segment 3 \n mismatch (origin=1, fr=2)
Line 72: segment 2 \n mismatch (origin=1, fr=2)
Line 82: segment 1 \n mismatch (origin=1, fr=2)
Line 89: segment 1 \n mismatch (origin=1, fr=2)
Line 92: segment 1 \n mismatch (origin=1, fr=2)
Line 93: segment 1 \n mismatch (origin=1, fr=2)
Line 95: segment 1 \n mismatch (origin=1, fr=2)
Line 96: segment 4 \n mismatch (origin=1, fr=2)
Line 100: segment 1 \n mismatch (origin=1, fr=2)
Line 103: segment 2 \n mismatch (origin=1, fr=2)
Line 104: segment 2 \n mismatch (origin=1, fr=2)
Line 104: trailing control code at end of fr line
Line 105: segment 1 \n mismatch (origin=1, fr=3)
Line 109: segment 1 \n mismatch (origin=1, fr=2)
Line 117: segment 1 \n mismatch (origin=1, fr=2)
Line 120: segment 1 \n mismatch (origin=1, fr=3)
Line 121: segment 1 \n mismatch (origin=1, fr=2)
Line 137: segment 1 \n mismatch (origin=1, fr=2)
Line 137: segment 2 \n mismatch (origin=1, fr=2)
Line 138: segment 1 \n mismatch (origin=1, fr=2)
Line 139: segment 1 \n mismatch (origin=1, fr=3)
Line 145: trailing control code at end of fr line
Line 150: segment 1 \n mismatch (origin=1, fr=2)
Line 151: segment 3 \n mismatch (origin=1, fr=2)
Line 155: segment 3 \n mismatch (origin=1, fr=2)
Line 156: segment 1 \n mismatch (origin=1, fr=4)
Line 157: segment 2 \n mismatch (origin=1, fr=2)
Line 157: segment 3 \n mismatch (origin=1, fr=2)
Line 164: segment 1 \n mismatch (origin=1, fr=3)
Line 167: segment 2 \n mismatch (origin=1, fr=2)
Line 170: segment 2 \n mismatch (origin=1, fr=2)
Line 172: segment 1 \n mismatch (origin=1, fr=2)
Line 172: segment 3 \n mismatch (origin=1, fr=2)
Line 181: segment 3 \n mismatch (origin=1, fr=2)
Line 181: segment 4 \n mismatch (origin=1, fr=2)
Line 184: segment 1 \n mismatch (origin=1, fr=2)
Line 187: segment 1 \n mismatch (origin=1, fr=2)
Line 198: segment 2 \n mismatch (origin=1, fr=2)
Line 199: segment 1 \n mismatch (origin=1, fr=2)
Line 199: trailing control code at end of fr line
Line 200: segment 2 \n mismatch (origin=1, fr=2)
Line 206: segment 1 \n mismatch (origin=1, fr=2)
Line 206: segment 3 \n mismatch (origin=1, fr=2)
Line 209: segment 1 \n mismatch (origin=1, fr=2)
Line 209: segment 3 \n mismatch (origin=1, fr=2)
Line 210: segment 4 \n mismatch (origin=1, fr=2)
Line 214: segment 1 \n mismatch (origin=1, fr=2)
Line 217: segment 2 \n mismatch (origin=1, fr=3)
Line 221: segment 1 \n mismatch (origin=1, fr=2)
Line 226: segment 2 \n mismatch (origin=1, fr=2)
Line 227: segment 1 \n mismatch (origin=1, fr=0)
Line 232: segment 1 \n mismatch (origin=1, fr=2)
Line 234: segment 1 \n mismatch (origin=1, fr=2)
Line 236: segment 1 \n mismatch (origin=1, fr=3)
Line 236: segment 6 \n mismatch (origin=1, fr=2)
Line 239: segment 1 \n mismatch (origin=1, fr=2)
Line 239: segment 5 \n mismatch (origin=1, fr=2)
Line 239: segment 8 \n mismatch (origin=1, fr=2)
Line 241: segment 2 \n mismatch (origin=1, fr=2)
Line 241: segment 5 \n mismatch (origin=1, fr=2)
Line 245: segment 1 \n mismatch (origin=1, fr=2)
Line 246: segment 1 \n mismatch (origin=1, fr=2)
Line 249: segment 4 \n mismatch (origin=1, fr=2)
