Line 1: \p count mismatch (origin=2, fr=1)
Line 1: \l count mismatch (origin=1, fr=0)
Line 2: \p count mismatch (origin=1, fr=0)
Line 2: \l count mismatch (origin=2, fr=0)
Line 3: \p count mismatch (origin=1, fr=0)
Line 3: \l count mismatch (origin=2, fr=0)
Line 4: \p count mismatch (origin=0, fr=2)
Line 4: \l count mismatch (origin=0, fr=2)
Line 5: \p count mismatch (origin=0, fr=3)
Line 6: \p count mismatch (origin=4, fr=0)
Line 7: \p count mismatch (origin=0, fr=1)
Line 9: \p count mismatch (origin=2, fr=0)
Line 9: \l count mismatch (origin=3, fr=0)
Line 10: \p count mismatch (origin=2, fr=1)
Line 10: \l count mismatch (origin=2, fr=0)
Line 11: \p count mismatch (origin=6, fr=0)
Line 11: \l count mismatch (origin=6, fr=0)
Line 11: segment too long (67>36) ->  Hein ? Sérieux ? Tu plaisantes. En général, les gens sont ravis de
Line 12: \p count mismatch (origin=2, fr=0)
Line 13: \p count mismatch (origin=5, fr=0)
Line 13: \l count mismatch (origin=5, fr=0)
Line 13: consecutive \n found in fr, not in origin
Line 14: \p count mismatch (origin=1, fr=0)
Line 14: consecutive \n found in fr, not in origin
Line 15: \p count mismatch (origin=1, fr=0)
Line 15: \l count mismatch (origin=1, fr=0)
Line 15: consecutive \n found in fr, not in origin
Line 16: consecutive \n found in fr, not in origin
Line 17: \l count mismatch (origin=1, fr=0)
Line 17: consecutive \n found in fr, not in origin
Line 18: \l count mismatch (origin=1, fr=0)
Line 18: consecutive \n found in fr, not in origin
Line 19: \l count mismatch (origin=1, fr=0)
Line 19: consecutive \n found in fr, not in origin
Line 20: consecutive \n found in fr, not in origin
Line 21: consecutive \n found in fr, not in origin
Line 22: consecutive \n found in fr, not in origin
Line 23: \p count mismatch (origin=1, fr=0)
Line 23: consecutive \n found in fr, not in origin
Line 24: \p count mismatch (origin=1, fr=0)
Line 24: consecutive \n found in fr, not in origin
Line 25: \p count mismatch (origin=1, fr=0)
Line 25: consecutive \n found in fr, not in origin
Line 26: \p count mismatch (origin=2, fr=0)
Line 26: \l count mismatch (origin=1, fr=0)
Line 26: consecutive \n found in fr, not in origin
Line 27: consecutive \n found in fr, not in origin
Line 28: consecutive \n found in fr, not in origin
Line 29: \p count mismatch (origin=3, fr=0)
Line 29: \l count mismatch (origin=2, fr=0)
Line 29: consecutive \n found in fr, not in origin
Line 30: \p count mismatch (origin=1, fr=0)
Line 30: consecutive \n found in fr, not in origin
Line 31: \p count mismatch (origin=2, fr=0)
Line 31: consecutive \n found in fr, not in origin
Line 32: \p count mismatch (origin=1, fr=0)
Line 32: consecutive \n found in fr, not in origin
Line 33: consecutive \n found in fr, not in origin
Line 34: \p count mismatch (origin=1, fr=0)
Line 34: consecutive \n found in fr, not in origin
Line 35: consecutive \n found in fr, not in origin
Line 36: consecutive \n found in fr, not in origin
Line 37: consecutive \n found in fr, not in origin
Line 38: consecutive \n found in fr, not in origin
Line 39: consecutive \n found in fr, not in origin
Line 40: consecutive \n found in fr, not in origin
Line 41: consecutive \n found in fr, not in origin
Line 42: \p count mismatch (origin=14, fr=0)
Line 42: \l count mismatch (origin=9, fr=0)
Line 42: consecutive \n found in fr, not in origin
Line 43: \p count mismatch (origin=7, fr=0)
Line 43: \l count mismatch (origin=4, fr=0)
Line 43: consecutive \n found in fr, not in origin
Line 44: \p count mismatch (origin=2, fr=0)
Line 44: consecutive \n found in fr, not in origin
Line 45: consecutive \n found in fr, not in origin
Line 46: \p count mismatch (origin=2, fr=0)
Line 46: \l count mismatch (origin=1, fr=0)
Line 46: consecutive \n found in fr, not in origin
Line 47: \p count mismatch (origin=3, fr=0)
Line 47: consecutive \n found in fr, not in origin
Line 48: \p count mismatch (origin=2, fr=0)
Line 48: \l count mismatch (origin=2, fr=0)
Line 48: consecutive \n found in fr, not in origin
Line 49: \p count mismatch (origin=1, fr=0)
Line 49: \l count mismatch (origin=1, fr=0)
Line 49: consecutive \n found in fr, not in origin
Line 50: consecutive \n found in fr, not in origin
Line 50: segment too long (37>36) ->  Nex Piphybuilder88 Princesse-Phoenix
Line 51: consecutive \n found in fr, not in origin
Line 52: \p count mismatch (origin=4, fr=0)
Line 52: consecutive \n found in fr, not in origin
Line 53: \p count mismatch (origin=1, fr=0)
Line 53: consecutive \n found in fr, not in origin
Line 54: consecutive \n found in fr, not in origin
Line 55: consecutive \n found in fr, not in origin
Line 56: consecutive \n found in fr, not in origin
Line 57: consecutive \n found in fr, not in origin
Line 58: consecutive \n found in fr, not in origin
Line 59: consecutive \n found in fr, not in origin
Line 60: consecutive \n found in fr, not in origin
Line 61: \p count mismatch (origin=1, fr=0)
Line 61: consecutive \n found in fr, not in origin
Line 62: \p count mismatch (origin=1, fr=0)
Line 62: consecutive \n found in fr, not in origin
Line 63: \p count mismatch (origin=2, fr=0)
Line 63: \l count mismatch (origin=2, fr=0)
Line 63: consecutive \n found in fr, not in origin
Line 64: \p count mismatch (origin=2, fr=0)
Line 64: \l count mismatch (origin=4, fr=0)
Line 64: consecutive \n found in fr, not in origin
Line 65: \p count mismatch (origin=2, fr=0)
Line 65: \l count mismatch (origin=2, fr=0)
Line 65: consecutive \n found in fr, not in origin
Line 66: \p count mismatch (origin=3, fr=0)
Line 66: \l count mismatch (origin=3, fr=0)
Line 66: consecutive \n found in fr, not in origin
Line 67: \p count mismatch (origin=1, fr=0)
Line 67: consecutive \n found in fr, not in origin
Line 68: consecutive \n found in fr, not in origin
Line 69: consecutive \n found in fr, not in origin
Line 70: \p count mismatch (origin=2, fr=0)
Line 70: \l count mismatch (origin=2, fr=0)
Line 70: consecutive \n found in fr, not in origin
